Method,Name,Error,Occurrences,First Seen,Last Seen
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7837: HTTP 500 - '),1,2026-07-09T23:59:36Z,2026-07-09T23:59:36Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8964: HTTP 500 - '),1,2026-07-10T00:00:36Z,2026-07-10T00:00:36Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8815: HTTP 500 - '),1,2026-07-10T00:00:27Z,2026-07-10T00:00:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8637: HTTP 500 - '),1,2026-07-10T00:00:18Z,2026-07-10T00:00:18Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7513: HTTP 500 - '),1,2026-07-09T23:59:18Z,2026-07-09T23:59:18Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7825: HTTP 500 - '),1,2026-07-09T23:59:35Z,2026-07-09T23:59:35Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7995: HTTP 500 - '),1,2026-07-09T23:59:43Z,2026-07-09T23:59:43Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7671: HTTP 500 - '),1,2026-07-09T23:59:27Z,2026-07-09T23:59:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8236: HTTP 500 - '),1,2026-07-09T23:59:56Z,2026-07-09T23:59:56Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7677: HTTP 500 - '),1,2026-07-09T23:59:27Z,2026-07-09T23:59:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8149: HTTP 500 - '),1,2026-07-09T23:59:51Z,2026-07-09T23:59:51Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8323: HTTP 500 - '),1,2026-07-10T00:00:00Z,2026-07-10T00:00:00Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8971: HTTP 500 - '),1,2026-07-10T00:00:37Z,2026-07-10T00:00:37Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7669: HTTP 500 - '),1,2026-07-09T23:59:27Z,2026-07-09T23:59:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7655: HTTP 500 - '),1,2026-07-09T23:59:27Z,2026-07-09T23:59:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8484: HTTP 500 - '),1,2026-07-10T00:00:09Z,2026-07-10T00:00:09Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8310: HTTP 500 - '),1,2026-07-09T23:59:59Z,2026-07-09T23:59:59Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8640: HTTP 500 - '),1,2026-07-10T00:00:18Z,2026-07-10T00:00:18Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=9045: HTTP 500 - '),1,2026-07-10T00:00:43Z,2026-07-10T00:00:43Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8811: HTTP 500 - '),1,2026-07-10T00:00:27Z,2026-07-10T00:00:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8067: HTTP 500 - '),1,2026-07-09T23:59:48Z,2026-07-09T23:59:48Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8324: HTTP 500 - '),1,2026-07-10T00:00:00Z,2026-07-10T00:00:00Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8479: HTTP 500 - '),1,2026-07-10T00:00:09Z,2026-07-10T00:00:09Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7659: HTTP 500 - '),1,2026-07-09T23:59:27Z,2026-07-09T23:59:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7819: HTTP 500 - '),1,2026-07-09T23:59:35Z,2026-07-09T23:59:35Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8235: HTTP 500 - '),1,2026-07-09T23:59:56Z,2026-07-09T23:59:56Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8319: HTTP 500 - '),1,2026-07-10T00:00:00Z,2026-07-10T00:00:00Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7840: HTTP 500 - '),1,2026-07-09T23:59:36Z,2026-07-09T23:59:36Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8796: HTTP 500 - '),1,2026-07-10T00:00:27Z,2026-07-10T00:00:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=9217: HTTP 500 - '),1,2026-07-10T00:00:52Z,2026-07-10T00:00:52Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8486: HTTP 500 - '),1,2026-07-10T00:00:09Z,2026-07-10T00:00:09Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8320: HTTP 500 - '),1,2026-07-10T00:00:00Z,2026-07-10T00:00:00Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7674: HTTP 500 - '),1,2026-07-09T23:59:27Z,2026-07-09T23:59:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8639: HTTP 500 - '),1,2026-07-10T00:00:18Z,2026-07-10T00:00:18Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8889: HTTP 500 - '),1,2026-07-10T00:00:32Z,2026-07-10T00:00:32Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8152: HTTP 500 - '),1,2026-07-09T23:59:51Z,2026-07-09T23:59:51Z
