Method,Name,Error,Occurrences,First Seen,Last Seen
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":1266,""user_type_id"":2}')",1,2026-07-09T21:37:20Z,2026-07-09T21:37:20Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":2918,""user_type_id"":1}')",1,2026-07-09T21:38:04Z,2026-07-09T21:38:04Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":695,""user_type_id"":3}')",1,2026-07-09T21:37:05Z,2026-07-09T21:37:05Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":2320,""user_type_id"":3}')",1,2026-07-09T21:37:48Z,2026-07-09T21:37:48Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":3036,""user_type_id"":1}')",1,2026-07-09T21:38:09Z,2026-07-09T21:38:09Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":736,""user_type_id"":2}')",1,2026-07-09T21:37:07Z,2026-07-09T21:37:07Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":3600,""user_type_id"":3}')",1,2026-07-09T21:38:24Z,2026-07-09T21:38:24Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":3899,""user_type_id"":2}')",1,2026-07-09T21:38:33Z,2026-07-09T21:38:33Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":1463,""user_type_id"":3}')",1,2026-07-09T21:37:25Z,2026-07-09T21:37:25Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":3491,""user_type_id"":1}')",1,2026-07-09T21:38:21Z,2026-07-09T21:38:21Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":4063,""user_type_id"":2}')",1,2026-07-09T21:38:37Z,2026-07-09T21:38:37Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":1137,""user_type_id"":2}')",1,2026-07-09T21:37:17Z,2026-07-09T21:37:17Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":643,""user_type_id"":1}')",1,2026-07-09T21:37:05Z,2026-07-09T21:37:05Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":4130,""user_type_id"":2}')",1,2026-07-09T21:38:40Z,2026-07-09T21:38:40Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":4157,""user_type_id"":1}')",1,2026-07-09T21:38:40Z,2026-07-09T21:38:40Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":814,""user_type_id"":3}')",1,2026-07-09T21:37:09Z,2026-07-09T21:37:09Z
