Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783633013,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783633014,10,,Aggregated,0.000000,0.000000,190,220,250,250,260,270,270,270,270,270,270,16,16,160,156.7919684378012,43.242338999334606,265.3690520000964,32.0
1783633015,20,,Aggregated,0.000000,0.000000,190,250,270,280,290,300,300,300,300,300,300,43,43,190,166.13538939549642,41.5886139999202,301.0484050009836,32.0
1783633016,30,,Aggregated,10.000000,10.000000,220,280,300,340,380,410,420,430,430,430,430,80,80,220,215.04424776248925,41.5886139999202,429.5326560004469,32.0
1783633017,40,,Aggregated,17.000000,17.000000,290,340,380,410,470,500,590,610,620,620,620,120,120,280,273.53911419166553,41.5886139999202,623.6023339988606,32.0
1783633018,50,,Aggregated,20.333333,20.333333,310,390,450,470,590,630,880,890,900,900,900,147,147,310,329.01399287756357,41.5886139999202,900.6545640004333,32.0
1783633019,50,,Aggregated,22.750000,22.750000,350,440,520,600,850,900,960,1000,1100,1100,1100,208,208,350,394.7672106442479,41.5886139999202,1067.9245310002443,32.0
1783633020,50,,Aggregated,26.800000,26.800000,360,460,540,620,830,890,960,1000,1100,1100,1100,248,248,360,408.4496957096954,41.5886139999202,1067.9245310002443,32.0
1783633021,50,,Aggregated,28.833333,28.833333,340,440,530,590,770,890,940,1000,1100,1100,1100,299,299,340,392.204623759216,41.5886139999202,1067.9245310002443,32.0
1783633022,50,,Aggregated,28.833333,28.833333,350,440,500,570,720,880,930,990,1100,1100,1100,340,340,350,380.53475162648874,18.47550000093179,1067.9245310002443,30.305882352941175
1783633023,50,,Aggregated,35.250000,35.250000,380,490,610,670,900,980,1100,1100,1200,1200,1200,376,376,380,437.029276505326,18.47550000093179,1199.0467029991123,30.46808510638298
1783633024,50,,Aggregated,37.777778,37.777778,410,530,620,730,950,1100,1100,1200,1200,1200,1200,419,419,410,466.5252120739926,18.47550000093179,1238.4027550015162,30.62529832935561
1783633025,50,,Aggregated,35.200000,35.200000,410,540,620,700,920,1000,1100,1200,1200,1200,1200,470,470,410,469.28243587235363,18.47550000093179,1238.4027550015162,30.77446808510638
1783633026,50,,Aggregated,38.600000,38.600000,400,510,610,660,900,1000,1100,1100,1200,1200,1200,512,512,400,450.64312142969226,9.482593999564415,1238.4027550015162,29.625
1783633027,50,,Aggregated,39.900000,39.900000,430,570,680,790,970,1000,1100,1200,1200,1200,1200,569,569,430,489.1467046994799,9.482593999564415,1238.4027550015162,29.86291739894552
1783633028,50,,Aggregated,44.600000,44.600000,410,550,660,770,970,1000,1100,1200,1200,1200,1200,599,599,410,475.9952609565999,9.482593999564415,1238.4027550015162,29.969949916527547
1783633029,50,,Aggregated,42.900000,42.900000,450,600,700,750,950,1000,1100,1100,1200,1200,1200,649,649,450,491.14126231125357,9.482593999564415,1238.4027550015162,30.126348228043142
1783633030,50,,Aggregated,44.900000,44.900000,450,590,690,740,940,1000,1100,1100,1200,1200,1200,684,684,450,489.40585567543513,9.482593999564415,1238.4027550015162,29.98830409356725
1783633031,50,,Aggregated,44.200000,44.200000,460,610,710,750,920,1000,1100,1100,1200,1200,1200,748,748,460,492.3023807660379,9.482593999564415,1238.4027550015162,30.16042780748663
1783633032,50,,Aggregated,43.900000,43.900000,450,610,700,750,910,1000,1100,1100,1200,1200,1200,780,780,450,484.3177835679428,9.482593999564415,1238.4027550015162,30.235897435897435
1783633033,50,,Aggregated,40.700000,40.700000,470,620,720,750,900,1000,1100,1100,1200,1200,1200,828,828,470,495.9940798478205,9.482593999564415,1238.4027550015162,30.270531400966185
1783633034,50,,Aggregated,41.400000,41.400000,490,640,740,770,930,1000,1100,1100,1200,1200,1200,874,874,490,511.2151381945126,9.482593999564415,1238.4027550015162,30.33867276887872
1783633036,50,,Aggregated,43.200000,43.200000,490,640,730,770,920,1000,1100,1100,1200,1200,1200,904,904,490,511.1973371548771,9.482593999564415,1238.4027550015162,30.42699115044248
1783633037,50,,Aggregated,44.100000,44.100000,500,660,740,790,930,1000,1100,1100,1200,1200,1200,955,955,500,523.9858682167768,9.482593999564415,1238.4027550015162,30.56439790575916
1783633038,50,,Aggregated,39.600000,39.600000,500,650,740,780,910,1000,1100,1100,1200,1200,1200,1026,1026,500,509.83087792302604,6.554999999934807,1238.4027550015162,29.41423001949318
1783633039,50,,Aggregated,43.200000,43.200000,500,650,740,780,910,1000,1100,1100,1200,1200,1200,1048,1048,500,506.7670569675748,6.554999999934807,1238.4027550015162,29.111641221374047
1783633040,50,,Aggregated,43.500000,43.500000,500,670,750,790,900,1000,1100,1100,1200,1200,1200,1110,1110,500,507.7608892693977,6.554999999934807,1238.4027550015162,29.32882882882883
1783633041,50,,Aggregated,42.300000,42.300000,480,640,740,780,890,990,1100,1100,1200,1200,1200,1173,1173,480,501.34326034529,6.554999999934807,1238.4027550015162,29.526001705029838
1783633042,50,,Aggregated,44.100000,44.100000,480,640,730,770,890,990,1100,1100,1200,1200,1200,1207,1207,480,500.457479532748,6.554999999934807,1238.4027550015162,29.623860811930406
1783633043,50,,Aggregated,47.100000,47.100000,490,640,720,770,890,990,1100,1100,1200,1200,1200,1257,1257,490,500.7979281814042,6.554999999934807,1238.4027550015162,29.75815433571997
1783633044,50,,Aggregated,43.700000,43.700000,490,650,730,770,890,990,1100,1100,1200,1200,1200,1284,1284,490,506.40629670484356,6.554999999934807,1238.4027550015162,29.82632398753894
1783633045,50,,Aggregated,46.500000,46.500000,490,650,740,780,900,1000,1100,1100,1200,1200,1200,1356,1356,490,506.3053441135821,6.554999999934807,1238.4027550015162,29.921828908554573
1783633046,50,,Aggregated,44.300000,44.300000,490,650,730,770,900,1000,1100,1100,1200,1200,1200,1391,1391,490,500.13673182747425,6.554999999934807,1238.4027550015162,29.595974119338607
1783633047,50,,Aggregated,45.500000,45.500000,500,670,750,790,910,1000,1100,1100,1200,1200,1200,1436,1436,500,509.930107745138,6.554999999934807,1238.4027550015162,29.70264623955432
1783633048,50,,Aggregated,47.900000,47.900000,510,680,750,810,920,1000,1100,1100,1200,1200,1200,1485,1485,510,519.8940702761093,6.554999999934807,1238.4027550015162,29.811447811447813
1783633049,50,,Aggregated,45.900000,45.900000,500,680,750,810,920,990,1100,1100,1200,1200,1200,1509,1509,500,517.6256195845089,6.554999999934807,1238.4027550015162,29.84029158383035
1783633050,50,,Aggregated,42.000000,42.000000,520,690,760,810,910,990,1100,1100,1200,1200,1200,1558,1558,520,520.4617743331311,6.554999999934807,1238.4027550015162,29.685494223363285
