Method,Name,Error,Occurrences,First Seen,Last Seen
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":83,""user_type_id"":3}')",1,2026-07-09T21:35:56Z,2026-07-09T21:35:56Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":212,""user_type_id"":2}')",1,2026-07-09T21:36:12Z,2026-07-09T21:36:12Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":176,""user_type_id"":3}')",1,2026-07-09T21:36:08Z,2026-07-09T21:36:08Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":26,""user_type_id"":3}')",1,2026-07-09T21:35:48Z,2026-07-09T21:35:48Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":121,""user_type_id"":2}')",1,2026-07-09T21:36:01Z,2026-07-09T21:36:01Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":204,""user_type_id"":2}')",1,2026-07-09T21:36:11Z,2026-07-09T21:36:11Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":109,""user_type_id"":2}')",1,2026-07-09T21:35:59Z,2026-07-09T21:35:59Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":191,""user_type_id"":1}')",1,2026-07-09T21:36:10Z,2026-07-09T21:36:10Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":166,""user_type_id"":2}')",1,2026-07-09T21:36:07Z,2026-07-09T21:36:07Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":71,""user_type_id"":1}')",1,2026-07-09T21:35:55Z,2026-07-09T21:35:55Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":140,""user_type_id"":1}')",1,2026-07-09T21:36:03Z,2026-07-09T21:36:03Z
